,Species,Weight,Height,Width
57,Whitefish,306.0,8.778,4.6816
58,Whitefish,540.0,10.744,6.562
59,Whitefish,800.0,11.7612,6.5736
60,Whitefish,1000.0,12.354,6.525
61,Parkki,55.0,6.8475,2.3265
62,Parkki,60.0,6.5772,2.3142
63,Parkki,90.0,7.4052,2.673
64,Parkki,120.0,8.3922,2.9181
65,Parkki,150.0,8.8928,3.2928
66,Parkki,140.0,8.5376,3.2944
67,Parkki,170.0,9.396,3.4104
68,Parkki,145.0,9.7364,3.1571
69,Parkki,200.0,10.3458,3.6636
70,Parkki,273.0,11.088,4.144
71,Parkki,300.0,11.368,4.234
72,Perch,5.9,2.112,1.408
73,Perch,32.0,3.528,1.9992
74,Perch,40.0,3.824,2.432
75,Perch,51.5,4.5924,2.6316
76,Perch,70.0,4.588,2.9415
77,Perch,100.0,5.2224,3.3216
78,Perch,78.0,5.1992,3.1234
79,Perch,80.0,5.6358,3.0502
80,Perch,85.0,5.1376,3.0368
81,Perch,85.0,5.082,2.772
82,Perch,110.0,5.6925,3.555
83,Perch,115.0,5.9175,3.3075
84,Perch,125.0,5.6925,3.6675
85,Perch,130.0,6.384,3.534
86,Perch,120.0,6.11,3.4075
87,Perch,120.0,5.64,3.525
88,Perch,130.0,6.11,3.525
89,Perch,135.0,5.875,3.525
90,Perch,110.0,5.5225,3.995
91,Perch,130.0,5.856,3.624
92,Perch,150.0,6.792,3.624
93,Perch,145.0,5.9532,3.63
94,Perch,150.0,5.2185,3.626
95,Perch,170.0,6.275,3.725
96,Perch,225.0,7.293,3.723
97,Perch,145.0,6.375,3.825
98,Perch,188.0,6.7334,4.1658
99,Perch,180.0,6.4395,3.6835
100,Perch,197.0,6.561,4.239
101,Perch,218.0,7.168,4.144
102,Perch,300.0,8.323,5.1373
103,Perch,260.0,7.1672,4.335
104,Perch,265.0,7.0516,4.335
105,Perch,250.0,7.2828,4.5662
106,Perch,250.0,7.8204,4.2042
107,Perch,300.0,7.5852,4.6354
108,Perch,320.0,7.6156,4.7716
109,Perch,514.0,10.03,6.018
110,Perch,556.0,10.2565,6.3875
111,Perch,840.0,11.4884,7.7957
112,Perch,685.0,10.881,6.864
113,Perch,700.0,10.6091,6.7408
114,Perch,700.0,10.835,6.2646
115,Perch,690.0,10.5717,6.3666
116,Perch,900.0,11.1366,7.4934
117,Perch,650.0,11.1366,6.003
118,Perch,820.0,12.4313,7.3514
119,Perch,850.0,11.9286,7.1064
120,Perch,900.0,11.73,7.225
121,Perch,1015.0,12.3808,7.4624
122,Perch,820.0,11.135,6.63
123,Perch,1100.0,12.8002,6.8684
124,Perch,1000.0,11.9328,7.2772
125,Perch,1100.0,12.5125,7.4165
126,Perch,1000.0,12.604,8.142
127,Perch,1000.0,12.4888,7.5958
128,Pike,200.0,5.568,3.3756
129,Pike,300.0,5.7078,4.158
130,Pike,300.0,5.9364,4.3844
131,Pike,300.0,6.2884,4.0198
132,Pike,430.0,7.29,4.5765
133,Pike,345.0,6.396,3.977
134,Pike,456.0,7.28,4.3225
135,Pike,510.0,6.825,4.459
136,Pike,540.0,7.786,5.1296
137,Pike,500.0,6.96,4.896
138,Pike,567.0,7.792,4.87
139,Pike,770.0,7.68,5.376
140,Pike,950.0,8.9262,6.1712
141,Pike,1250.0,10.6863,6.9849
142,Pike,1600.0,9.6,6.144
143,Pike,1550.0,9.6,6.144
144,Pike,1650.0,10.812,7.48
145,Smelt,6.7,1.7388,1.0476
146,Smelt,7.5,1.972,1.16
147,Smelt,7.0,1.7284,1.1484
148,Smelt,9.7,2.196,1.38
149,Smelt,9.8,2.0832,1.2772
150,Smelt,8.7,1.9782,1.2852
151,Smelt,10.0,2.2139,1.2838
152,Smelt,9.9,2.2139,1.1659
153,Smelt,9.8,2.2044,1.1484
154,Smelt,12.2,2.0904,1.3936
155,Smelt,13.4,2.43,1.269
156,Smelt,12.2,2.277,1.2558
157,Smelt,19.7,2.8728,2.0672
158,Smelt,19.9,2.9322,1.8792
